 TestingInstances.mdzip.bak , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 TestingMD.mdzip , eed905540947c0e67b123c08136a0ecd8f8cd05e , 2022-06-15 23:43:17 -0400 , MartinTheDude , MartinTheDude , edits 
 commits.csv , 92af1e745c0e98a4ef8ee7eba0376fc5e59902d8 , 2022-06-24 14:21:50 +0000 , GitHub Action , GitHub Action , data/commits updated with format 
 data/commitsLocalOnly.csv , 190705541150aca84a2190ae1e27bedff0e75919 , 2022-06-14 11:07:08 -0400 , MartinTheDude , GitHub , csved 
 data/formatWizard.m , 4d4914fa73d6092363ac311574be4aeffa0dd758 , 2022-06-20 16:54:56 -0400 , MartinTheDude , GitHub , change delims 2 
 data/octokit.csv , 33a0c2d1b93cb5ad5156741d15bf6361f826a34e , 2022-06-28 20:36:07 +0000 , GitHub Action , GitHub Action , data/octokit.csv updated 
 model.png , 46a8a26f8c1bc712834bc0623c36f3807e4b8880 , 2022-06-15 12:22:40 -0400 , MartinTheDude , MartinTheDude , Create model.png 
 noMagicAPI/bin/.classpath , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 noMagicAPI/bin/.gitignore , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 noMagicAPI/bin/.project , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 noMagicAPI/bin/.settings/org.eclipse.jdt.core.prefs , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 noMagicAPI/bin/imgExporter.class , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
 noMagicAPI/bin/module-info.class , 1d4706a886b1e3e0c01f591ed497405fef6a9c2f , 2022-06-28 16:35:48 -0400 , MartinTheDude , MartinTheDude , finishing up 
